"topic_id","article_id"
"1","10360"
"1","12617"
"1","13792"
"1","36341"
"1","57063"
"1","78934"
"1","157369"
"1","181362"
"1","183358"
"1","214634"
"1","230509"
"1","258601"
"1","290257"
"1","293395"
"1","296902"
"1","302290"
"1","331910"
"1","331988"
"1","332018"
"1","332040"
"1","332215"
"1","332378"
"1","332409"
"1","332968"
"1","333034"
"1","333382"
"1","333564"
"1","333599"
"1","333714"
"1","334352"
"1","334478"
"1","334566"
"1","334573"
"1","335472"
"1","335716"
"1","335867"
"1","335974"
"1","336471"
"1","336604"
"1","336784"
"1","337006"
"1","337481"
"1","337569"
"1","337965"
"1","338005"
"1","338083"
"1","338089"
"1","338284"
"1","338343"
"1","338506"
"1","338551"
"1","338562"
"1","338769"
"1","338828"
"1","338950"
"1","339474"
"1","339596"
"1","339698"
"1","339783"
"1","340640"
"1","340695"
"1","344049"
"1","345027"
"1","346896"
"1","347858"
"1","348351"
"1","351852"
"1","353409"
"1","354511"
"1","355882"
"1","356281"
"1","357213"
"1","357289"
"1","358285"
"1","359511"
"2","33"
"2","73"
"2","87"
"2","93"
"2","955"
"2","1001"
"2","3749"
"2","5235"
"2","12751"
"2","12763"
"2","12768"
"2","12909"
"2","13197"
"2","14196"
"2","14230"
"2","14294"
"2","23172"
"2","31172"
"2","36341"
"2","43994"
"2","43995"
"2","51384"
"2","52131"
"2","75317"
"2","77595"
"2","79703"
"2","85353"
"2","90328"
"2","97106"
"2","99985"
"2","101394"
"2","106840"
"2","109538"
"2","111215"
"2","112718"
"2","113403"
"2","113425"
"2","114807"
"2","115456"
"2","116153"
"2","116226"
"2","116905"
"2","116911"
"2","117606"
"2","118332"
"2","119172"
"2","123915"
"2","126342"
"2","126378"
"2","131645"
"2","133002"
"2","134923"
"2","138180"
"2","142216"
"2","144103"
"2","146617"
"2","150163"
"2","150340"
"2","151268"
"2","151298"
"2","151360"
"2","152014"
"2","152829"
"2","152837"
"2","152918"
"2","152922"
"2","152930"
"2","153041"
"2","153906"
"2","154565"
"2","154635"
"2","156544"
"2","157289"
"2","157339"
"2","158598"
"2","159287"
"2","160228"
"2","161639"
"2","166817"
"2","173695"
"2","174176"
"2","181362"
"2","181421"
"2","188643"
"2","194986"
"2","199165"
"2","212320"
"2","218806"
"2","220416"
"2","222368"
"2","224895"
"2","225878"
"2","234505"
"2","236884"
"2","246102"
"2","246942"
"2","247368"
"2","251779"
"2","252238"
"2","262934"
"2","264650"
"2","270844"
"2","277751"
"2","290257"
"2","290651"
"2","292833"
"2","293895"
"2","297242"
"2","299163"
"2","302176"
"2","316811"
"2","316847"
"2","319562"
"2","320020"
"2","329856"
"2","331538"
"2","331577"
"2","331681"
"2","331735"
"2","331909"
"2","331953"
"2","331974"
"2","332002"
"2","332074"
"2","332128"
"2","332254"
"2","332255"
"2","332264"
"2","332283"
"2","332378"
"2","332556"
"2","332593"
"2","332617"
"2","332672"
"2","332683"
"2","332737"
"2","332745"
"2","332756"
"2","332838"
"2","332854"
"2","332857"
"2","332915"
"2","332922"
"2","332926"
"2","332945"
"2","332970"
"2","332982"
"2","333051"
"2","333100"
"2","333210"
"2","333272"
"2","333306"
"2","333341"
"2","333380"
"2","333382"
"2","333395"
"2","333408"
"2","333558"
"2","333566"
"2","333714"
"2","333720"
"2","333976"
"2","333993"
"2","334000"
"2","334005"
"2","334035"
"2","334052"
"2","334188"
"2","334198"
"2","334202"
"2","334205"
"2","334211"
"2","334217"
"2","334264"
"2","334276"
"2","334279"
"2","334286"
"2","334307"
"2","334360"
"2","334398"
"2","334415"
"2","334417"
"2","334427"
"2","334461"
"2","334474"
"2","334475"
"2","334487"
"2","334488"
"2","334498"
"2","334503"
"2","334520"
"2","334533"
"2","334536"
"2","334541"
"2","334550"
"2","334560"
"2","334561"
"2","334565"
"2","334572"
"2","334577"
"2","334584"
"2","334603"
"2","334606"
"2","334619"
"2","334807"
"2","334862"
"2","334905"
"2","334910"
"2","335205"
"2","335214"
"2","335287"
"2","335375"
"2","335428"
"2","335450"
"2","335578"
"2","335696"
"2","335697"
"2","335703"
"2","335712"
"2","335716"
"2","335736"
"2","335764"
"2","335853"
"2","335867"
"2","335892"
"2","335896"
"2","335912"
"2","335918"
"2","335960"
"2","335974"
